ID,Tipo,Color,Material,Agregado,Cantidad,Precio Unitario,Precio Total,Fecha,PrecioU,PrecioT
1,Estante para farmacia,Blanco,Metal,Con puertas,3,3500.0,10500.0,2023-12-17,,
1,Casillero de dos puertas,Negro,Melamina,Sin espejo,3,1850.0,5550.0,2023-12-17,,
1,Estante mostrador,Negro,Melamina,Sin puertas,1,520.0,520.0,2023-12-17,,
1,Casillero de 6 puertas,Gris,Melamina,Sin espejo,1,1750.0,1750.0,2023-12-17,,
1,Casillero de 15 puertas,Negro,Metal,Sin espejo,3,2290.0,6870.0,2023-12-17,,
1,Archivador de Chapas Individuales,Negro,Metal,Sin agregado,1,1400.0,1400.0,2023-12-17,,
1,Casillero de cuatro puertas,Rojo,Melamina,Con chapa,2,1550.0,3100.0,2023-12-17,,
1,Vitrina doble chapa,Blanco,Melamina,Sin iluminación,2,1350.0,2700.0,2023-12-17,,
9,Casillero de 9 puertas,Gris,Melamina,Con espejo,3,1850.0,5550.0,2021-03-12,,
9,Gabetero de 4 cajas,Negro,Melamina,Con cerradura,2,1380.0,2760.0,2021-03-12,,
9,Gabetero con chapa independiente,Negro,Melamina,Con cerradura,1,1750.0,1750.0,2021-03-12,,
9,Silla estática,Gris,Metal,Con brazos,2,140.0,280.0,2021-03-12,,
13,Estante de puertas corredizas,Negro,Metal,De pie,1,1750.0,1750.0,2022-09-01,,
13,Casillero de 6 puertas,Gris,Melamina,Sin chapa,3,1750.0,5250.0,2022-09-01,,
13,Silla de espera,Azul,Metal,Acolchonada,2,950.0,1900.0,2022-09-01,,
13,Gabetero de 2 cajas sin chapa,Gris,Melamina,Sin cerradura,3,830.0,2490.0,2022-09-01,,
13,Casillero de 2 puertas,Blanco,Metal,Sin espejo,1,980.0,980.0,2022-09-01,,
18,Silla estática,Negro,Metal,Sin brazos,1,140.0,140.0,2021-06-01,,
18,Vitrina para farmacia,Rojo,Metal,De vidrio,1,1100.0,1100.0,2021-06-01,,
18,Silla mesedora,Negro,Melamina,Con brazos,2,500.0,1000.0,2021-06-01,,
21,Estante de puertas corredizas,Azul,Metal,De pie,2,1750.0,3500.0,2020-09-25,,
21,Silla de peluquería,Negro,Metal,Acolchonada,2,210.0,420.0,2020-09-25,,
21,Estante para farmacia,Negro,Melamina,De pie,1,3500.0,3500.0,2020-09-25,,
