Fecha,Tipo,Color,Material,Cantidad
2024-11,Pedestal porta sueros,Gris,Metal,1
2024-11,Lámpara de cuello ganzo,Blanco,Melamina,1
2024-11,Camillas para masajes,Negro,Metal,1
2024-11,Escritorio ejecutivo de siete cajas,Gris,Melamina,1
2024-11,Estanteria tipo vitrin,Blanco,Metal,1
2024-11,Camilla con Barillas,Negro,Melamina,1
2024-11,Casillero de 20 puertas,Gris,Metal,1
2024-11,Gabetero de 2 cajas sin chapa,Azul,Melamina,1
2024-11,Vitrina de puertas corredizas,Gris,Metal,2
2024-11,Casillero de 6 puertas,Rojo,Melamina,1
2024-11,Casillero de 12 puertas,Blanco,Metal,1
2024-11,Lámpara de cuello ganzo,Gris,Melamina,1
2024-11,Negtoscopio,Azul,Metal,1
2024-11,Cocina industrial de dos quemadores,Blanco,Melamina,1
2024-11,Pedestal porta sueros,Rojo,Metal,1
2024-11,Gradilla de 2 peldaños,Blanco,Melamina,1
2024-11,Camilla de examen,Azul,Metal,1
2024-11,Silla de espera,Rojo,Melamina,1
2024-11,Mostrador para librería,Gris,Metal,2
2024-11,Estanteria tipo vitrin,Gris,Melamina,1
2024-11,Horno domestico,Negro,Metal,1
2024-11,Silla de peluquería,Rojo,Melamina,1
2024-11,Escritorio secretarial de cuatro cajas con chapa clave,Azul,Metal,1
2024-11,Casillero de 15 puertas,Gris,Melamina,1
2024-11,Góndolas para supermercados,Azul,Metal,1
2024-11,Silla estática con brazo,Negro,Melamina,1
2024-11,Biombo,Gris,Metal,3
2024-11,Catre de internación,Blanco,Melamina,1
2024-11,Horno hogareño,Azul,Metal,1
2024-11,Vitrina doble chapa,Blanco,Melamina,2
2024-11,Casillero de 9 puertas,Azul,Metal,1
2024-11,Horno hogareño,Negro,Melamina,1
2024-11,Gradilla de 2 peldaños,Gris,Metal,1
2024-11,Camilla de ginecología,Rojo,Melamina,1
2024-11,Lámpara de cuello ganzo,Blanco,Metal,1
2024-11,Estante mostrador,Gris,Melamina,1
2024-11,Alacena con pedestal,Negro,Metal,2
2024-11,Estante de puertas corredizas,Azul,Melamina,1
2024-11,Credenza,Blanco,Metal,1
2024-11,Góndolas para supermercados,Gris,Melamina,1
2024-11,Horno domestico,Blanco,Metal,1
2024-11,Estante mostrador,Gris,Melamina,1
2024-11,Gabetero de 4 cajas,Blanco,Metal,1
2024-11,Estante para archivos con bandejas,Negro,Melamina,1
2024-11,Estante para farmacia,Gris,Metal,1
2024-11,Silla giratoria,Azul,Melamina,1
2024-11,Vitrina de puertas corredizas,Negro,Metal,1
2024-11,Estante para archivos con bandejas,Blanco,Melamina,1
2024-11,Gradilla de 2 peldaños,Negro,Metal,1
2024-11,Horno domestico,Gris,Melamina,1
2024-11,Alacena con pedestal,Azul,Metal,1
2024-11,Casillero de 1 cuerpo y tres puertas,Blanco,Melamina,1
2024-11,Negtoscopio,Rojo,Metal,1
2024-11,Estante mostrador,Blanco,Melamina,1
2024-11,Camilla de examen con espaldar movible,Rojo,Melamina,1
2024-11,Góndolas para supermercados,Blanco,Metal,1
2024-11,Camilla tipo escritorio,Gris,Metal,1
2024-11,Gradilla de 2 peldaños,Negro,Melamina,1
2024-11,Casillero de 15 puertas,Azul,Metal,1
2024-11,Pedestal porta sueros,Blanco,Melamina,2
2024-11,Camillas para masajes,Azul,Metal,1
2024-11,Vitrina de puertas corredizas,Gris,Melamina,1
2024-11,Escritorio secretarial de cuatro cajas con chapa clave,Rojo,Metal,1
2024-11,Silla estática,Blanco,Melamina,1
2024-11,Silla mesedora,Gris,Metal,1
2024-11,Gabetero de 4 cajas,Azul,Melamina,3
2024-11,Ropero casillero,Gris,Metal,1
2024-11,Archivero,Blanco,Melamina,1
2024-11,Cajero para supermercado,Azul,Metal,1
2024-11,Estante para farmacia de dos cuerpos,Rojo,Melamina,1
2024-11,Vitrina de puertas corredizas,Gris,Melamina,1
