Fecha,Tipo,Color,Material,Cantidad
2024-11,Alacena con pedestal,Gris,Metal,3
2024-11,Mostrador para librería,Rojo,Melamina,3
2024-11,Armario de dos cuerpos,Blanco,Metal,1
2024-11,Camilla de examen con espaldar movible,Rojo,Melamina,3
2024-11,Gabetero de 2 cajas con chapa adicional,Gris,Metal,1
2024-11,Gabetero de 2 cajas sin chapa,Negro,Melamina,1
2024-11,Silla estática con brazo,Blanco,Metal,1
2024-11,Vitrina de puertas corredizas,Rojo,Melamina,1
2024-11,Archivero,Blanco,Metal,2
2024-11,Silla de peluquería,Azul,Melamina,1
2024-11,Gabetero de 2 cajas sin chapa,Rojo,Metal,1
2024-11,Góndolas para supermercados,Azul,Metal,1
2024-11,Broastera simple,Gris,Melamina,1
2024-11,Credenza,Rojo,Metal,1
2024-11,Biombo,Azul,Melamina,1
2024-11,Taburete médico,Negro,Metal,1
2024-11,Casillero de 9 puertas,Gris,Melamina,1
2024-11,Camillas para masajes,Negro,Metal,1
2024-11,Gabetero de 2 cajas con chapa adicional,Blanco,Melamina,1
2024-11,Casillero de 2 puertas,Rojo,Metal,1
2024-11,Gabetero de 2 cajas con chapa adicional,Gris,Melamina,1
2024-11,Vitrina de puertas corredizas,Rojo,Metal,1
2024-11,Góndolas para supermercados,Negro,Melamina,1
2024-11,Vitrina doble chapa,Rojo,Metal,3
2024-11,Gabetero de 5 cajas,Blanco,Melamina,1
2024-11,Mesa de instrumentación,Gris,Metal,1
2024-11,Mesa de curación,Rojo,Melamina,1
2024-11,Silla mesedora,Blanco,Metal,1
2024-11,Archivador de Chapas Individuales,Gris,Melamina,1
2024-11,Catre de internación,Azul,Metal,1
2024-11,Cajero para supermercado,Blanco,Melamina,1
2024-11,Góndolas para supermercados,Rojo,Metal,1
2024-11,Taburete médico,Negro,Melamina,2
2024-11,Casillero de dos puertas,Gris,Metal,1
2024-11,Casillero de 6 puertas,Negro,Metal,1
2024-11,Ropero casillero,Azul,Melamina,1
2024-11,Lámpara de cuello ganzo,Gris,Metal,1
2024-11,Gabetero de 3 cajas,Azul,Melamina,1
2024-11,Camilla de examen,Rojo,Metal,3
2024-11,Gabetero de 5 cajas,Negro,Melamina,1
2024-11,Mesa de instrumentación,Gris,Metal,1
2024-11,Gabetero de 2 cajas con chapa adicional,Blanco,Melamina,2
2024-11,Gabetero de 3 cajas,Gris,Metal,1
2024-11,Casillero de 1 cuerpo y 1 puerta,Blanco,Melamina,1
2024-11,Estante de puertas corredizas,Rojo,Metal,1
2024-11,Camilla de examen,Negro,Melamina,1
2024-11,Gabetero de 5 cajas,Rojo,Metal,1
2024-11,Negtoscopio,Negro,Melamina,1
2024-11,Mesa de instrumentación,Rojo,Melamina,1
2024-11,Broastera simple,Gris,Metal,1
2024-11,Silla de espera,Azul,Melamina,1
2024-11,Biombo,Negro,Metal,1
2024-11,Estante para farmacia de dos cuerpos,Rojo,Melamina,1
2024-11,Taburete médico,Azul,Metal,2
2024-11,Silla giratoria,Blanco,Melamina,1
2024-11,Camilla de examen,Gris,Metal,2
2024-11,Credenza,Negro,Melamina,1
2024-11,Horno semi-industrial,Azul,Metal,2
2024-11,Camilla tipo escritorio,Blanco,Melamina,1
2024-11,Casillero de 12 puertas,Gris,Metal,2
2024-11,Camilla de ginecología,Rojo,Melamina,3
2024-11,Camillas para masajes,Gris,Metal,1
2024-11,Negtoscopio,Azul,Metal,1
2024-11,Escritorio secretarial de cuatro cajas con chapa clave,Blanco,Melamina,1
2024-11,Silla mesedora,Azul,Metal,1
2024-11,Estante para farmacia,Rojo,Melamina,1
2024-11,Mesa de curación,Gris,Metal,1
2024-11,Biombo,Rojo,Melamina,1
2024-11,Camilla de ginecología,Negro,Metal,1
2024-11,Alacena con pedestal,Azul,Melamina,1
2024-11,Gabetero de 3 cajas,Gris,Metal,1
2024-11,Taburete médico,Azul,Melamina,1
2024-11,Silla estática,Negro,Metal,1
2024-11,Camilla de examen con espaldar movible,Blanco,Melamina,1
2024-11,Vitrina doble chapa,Rojo,Metal,1
2024-11,Archivero,Gris,Metal,1
2024-11,Casillero de 1 cuerpo y tres puertas,Azul,Melamina,2
2024-11,Gabinete de dos cuerpos,Rojo,Metal,1
2024-11,Pedestal porta sueros,Gris,Melamina,1
2024-11,Cocina industrial de dos quemadores,Negro,Metal,1
2024-11,Gabetero de 2 cajas con chapa adicional,Gris,Melamina,1
2024-11,Casillero de 20 puertas,Azul,Metal,1
2024-11,Casillero de 1 cuerpo y tres puertas,Gris,Melamina,1
2024-11,Horno domestico,Negro,Metal,1
2024-11,Casillero de 20 puertas,Gris,Melamina,1
2024-11,Mostrador para librería,Negro,Melamina,1
2024-11,Escritorio ejecutivo de siete cajas,Rojo,Melamina,2
2024-11,Horno hogareño,Gris,Metal,1
2024-11,Velador clínico,Negro,Melamina,1
2024-11,Pedestal porta sueros,Negro,Metal,1
