Fecha,Tipo,Color,Material,Cantidad
2024-11,Casillero de 2 puertas,Azul,Metal,1
2024-11,Escritorio secretarial de cuatro cajas con chapa clave,Rojo,Melamina,2
2024-11,Vitrina para farmacia,Negro,Metal,1
2024-11,Gabetero de 2 cajas sin chapa,Rojo,Melamina,1
2024-11,Horno hogareño,Blanco,Metal,1
2024-11,Negtoscopio,Azul,Melamina,1
2024-11,Camilla con Barillas,Negro,Metal,1
2024-11,Gabinete de dos cuerpos,Rojo,Melamina,2
2024-11,Silla estática con brazo,Blanco,Metal,1
2024-11,Alacena con pedestal,Rojo,Melamina,1
2024-11,Horno hogareño,Blanco,Metal,1
2024-11,Credenza,Azul,Melamina,1
2024-11,Estante de puertas corredizas,Negro,Metal,1
2024-11,Casillero de 1 cuerpo y 4 puertas,Gris,Melamina,1
2024-11,Lámpara de cuello ganzo,Blanco,Melamina,1
2024-11,Estante de puertas corredizas,Azul,Metal,1
2024-11,Cajero para supermercado,Rojo,Melamina,1
2024-11,Escritorio secretarial de cuatro cajas con chapa clave,Negro,Metal,1
2024-11,Taburete médico,Blanco,Melamina,2
2024-11,Casillero de 15 puertas,Gris,Metal,3
2024-11,Escritorio ejecutivo de siete cajas,Azul,Melamina,1
2024-11,Gabetero con chapa independiente,Rojo,Metal,1
2024-11,Estante mostrador,Azul,Melamina,1
2024-11,Gabetero con chapa independiente,Negro,Metal,1
2024-11,Silla mesedora,Azul,Melamina,1
2024-11,Biombo,Rojo,Melamina,1
2024-11,Casillero de 1 cuerpo y 1 puerta,Azul,Metal,1
2024-11,Horno domestico,Negro,Melamina,1
2024-11,Escritorio secretarial de cuatro cajas con chapa clave,Rojo,Metal,3
2024-11,Catre de internación,Gris,Melamina,1
2024-11,Pedestal porta sueros,Negro,Metal,1
2024-11,Escritorio secretarial de cuatro cajas con chapa clave,Azul,Melamina,1
2024-11,Taburete médico,Gris,Metal,1
2024-11,Mesa de instrumentación,Azul,Melamina,3
2024-11,Camilla con Barillas,Blanco,Metal,3
2024-11,Mostrador para librería,Negro,Melamina,1
2024-11,Silla de espera,Blanco,Metal,1
2024-11,Mesa de instrumentación,Gris,Melamina,1
2024-11,Casillero de 1 cuerpo y 1 puerta,Azul,Metal,1
2024-11,Gabetero de 5 cajas,Negro,Melamina,1
2024-11,Mesa de curación,Azul,Metal,1
2024-11,Gradilla de 2 peldaños,Negro,Melamina,1
2024-11,Velador clínico,Azul,Metal,1
2024-11,Camilla tipo escritorio,Gris,Melamina,1
2024-11,Vitrina de puertas corredizas,Negro,Metal,1
2024-11,Casillero de 2 puertas,Azul,Melamina,1
2024-11,Escritorio secretarial de cuatro cajas con chapa clave,Blanco,Metal,1
2024-11,Gabetero de 4 cajas,Negro,Melamina,1
2024-11,Pedestal porta sueros,Azul,Metal,1
2024-11,Escritorio ejecutivo de siete cajas,Gris,Melamina,1
2024-11,Silla de espera,Rojo,Metal,1
2024-11,Gabetero de 2 cajas sin chapa,Negro,Melamina,1
2024-11,Ropero casillero,Blanco,Metal,1
2024-11,Góndolas para supermercados,Gris,Melamina,1
2024-11,Vitrina para farmacia,Azul,Metal,1
2024-11,Casillero de 1 cuerpo y 1 puerta,Negro,Melamina,1
2024-11,Armario de dos cuerpos,Rojo,Metal,1
2024-11,Vitrina de puertas corredizas,Negro,Melamina,1
2024-11,Casillero de 1 cuerpo y 1 puerta,Azul,Metal,1
2024-11,Silla estática con brazo,Negro,Melamina,3
2024-11,Estante para farmacia de dos cuerpos,Azul,Metal,1
2024-11,Gabetero de 2 cajas sin chapa,Negro,Melamina,1
2024-11,Estante para farmacia de dos cuerpos,Gris,Metal,1
2024-11,Archivador de Chapas Individuales,Negro,Melamina,1
2024-11,Alacena con pedestal,Gris,Metal,1
2024-11,Góndolas para supermercados,Negro,Melamina,1
2024-11,Archivador de Chapas Individuales,Gris,Metal,1
2024-11,Vitrina para farmacia,Negro,Melamina,1
2024-11,Gabetero de 2 cajas sin chapa,Azul,Metal,1
2024-11,Biombo,Blanco,Metal,1
2024-11,Casillero de 20 puertas,Gris,Melamina,1
2024-11,Gabetero con chapa independiente,Negro,Metal,1
2024-11,Silla giratoria,Gris,Melamina,1
2024-11,Camilla de examen,Blanco,Metal,1
2024-11,Velador clínico,Azul,Melamina,1
2024-11,Camilla de examen con espaldar movible,Blanco,Metal,1
2024-11,Casillero de 15 puertas,Azul,Melamina,1
2024-11,Estante para farmacia,Gris,Metal,1
2024-11,Catre de internación,Azul,Melamina,1
2024-11,Horno domestico,Gris,Metal,1
2024-11,Casillero de dos puertas,Blanco,Melamina,1
2024-11,Vitrina para farmacia,Gris,Metal,1
2024-11,Vitrina doble chapa,Blanco,Melamina,1
2024-11,Escritorio secretarial de cuatro cajas con chapa clave,Rojo,Metal,1
2024-11,Casillero de 15 puertas,Blanco,Melamina,1
2024-11,Gabetero de 2 cajas con chapa adicional,Rojo,Metal,1
2024-11,Armario de dos cuerpos,Rojo,Melamina,1
2024-11,Camillas para masajes,Negro,Metal,1
2024-11,Horno domestico,Gris,Melamina,1
2024-11,Gabetero de 4 cajas,Blanco,Metal,1
2024-11,Negtoscopio,Rojo,Melamina,1
2024-11,Ropero casillero,Azul,Metal,1
2024-11,Archivador de Chapas Individuales,Rojo,Melamina,1
2024-11,Góndolas para supermercados,Negro,Metal,2
2024-11,Catre de internación,Gris,Melamina,1
2024-11,Gabetero de 4 cajas,Rojo,Metal,1
2024-11,Escritorio secretarial de cuatro cajas con chapa clave,Blanco,Melamina,2
2024-11,Estante para farmacia,Negro,Metal,1
2024-11,Horno domestico,Blanco,Melamina,1
2024-11,Gabetero de 2 cajas sin chapa,Gris,Metal,1
2024-11,Camilla tipo escritorio,Azul,Melamina,1
2024-11,Casillero de 12 puertas,Negro,Metal,1
2024-11,Camilla de examen con espaldar movible,Gris,Melamina,1
2024-11,Estante para farmacia de dos cuerpos,Azul,Metal,1
2024-11,Gabetero de 2 cajas con chapa adicional,Rojo,Melamina,1
2024-11,Casillero de 1 cuerpo y 4 puertas,Azul,Metal,1
2024-11,Casillero de 2 puertas,Gris,Melamina,1
2024-11,Horno domestico,Negro,Metal,1
2024-11,Mostrador para librería,Rojo,Melamina,1
2024-11,Horno hogareño,Negro,Melamina,1
2024-11,Vitrina de puertas corredizas,Negro,Metal,1
2024-11,Horno semi-industrial,Gris,Melamina,1
2024-11,Camilla tipo escritorio,Rojo,Metal,1
2024-11,Silla mesedora,Rojo,Melamina,1
2024-11,Vitrina de puertas corredizas,Gris,Metal,2
2024-11,Escritorio ejecutivo de siete cajas,Negro,Melamina,1
2024-11,Góndolas para supermercados,Blanco,Metal,2
2024-11,Escritorio ejecutivo de siete cajas,Gris,Melamina,3
2024-11,Silla mesedora,Rojo,Metal,1
2024-11,Gabetero de 3 cajas,Negro,Melamina,1
2024-11,Ropero casillero,Rojo,Metal,1
2024-11,Casillero de cuatro puertas,Blanco,Melamina,2
2024-11,Mostrador para librería,Azul,Metal,1
2024-11,Camilla de examen,Gris,Melamina,1
2024-11,Casillero de 1 cuerpo y 4 puertas,Negro,Metal,1
2024-11,Cajero para supermercado,Rojo,Melamina,1
2024-11,Cocina industrial de dos quemadores,Blanco,Metal,1
2024-11,Negtoscopio,Negro,Melamina,1
2024-11,Pedestal porta sueros,Gris,Metal,1
2024-11,Estanteria tipo vitrin,Rojo,Melamina,1
2024-11,Silla de peluquería,Blanco,Metal,1
2024-11,Casillero de 12 puertas,Azul,Metal,1
2024-11,Lámpara de cuello ganzo,Rojo,Melamina,1
2024-11,Silla estática,Negro,Metal,1
2024-11,Estante para farmacia,Blanco,Melamina,1
2024-11,Silla de peluquería,Rojo,Metal,1
2024-11,Biombo,Blanco,Melamina,1
2024-11,Camilla con Barillas,Negro,Melamina,1
2024-11,Mostrador para librería,Gris,Metal,1
2024-11,Mesa de curación,Rojo,Melamina,1
2024-11,Camilla tipo escritorio,Gris,Metal,1
2024-11,Mesa de trabajo,Blanco,Melamina,1
2024-11,Estante de puertas corredizas,Rojo,Metal,1
2024-11,Armario de dos cuerpos,Gris,Melamina,1
2024-11,Negtoscopio,Azul,Metal,1
2024-11,Gabetero con chapa independiente,Negro,Melamina,1
2024-11,Silla mesedora,Blanco,Metal,1
2024-11,Silla estática con brazo,Rojo,Melamina,1
2024-11,Horno domestico,Azul,Metal,1
2024-11,Gabetero de 2 cajas con chapa adicional,Blanco,Melamina,1
2024-11,Camilla de examen,Rojo,Metal,1
2024-11,Camillas para masajes,Blanco,Melamina,1
2024-11,Credenza,Gris,Metal,1
2024-11,Camilla tipo escritorio,Azul,Melamina,1
2024-11,Góndolas para supermercados,Blanco,Metal,1
2024-11,Horno hogareño,Blanco,Melamina,1
2024-11,Archivero,Azul,Metal,1
2024-11,Gabinete de dos cuerpos,Gris,Melamina,1
2024-11,Camilla tipo escritorio,Blanco,Metal,1
2024-11,Gabetero de 5 cajas,Gris,Melamina,1
2024-11,Negtoscopio,Azul,Metal,1
2024-11,Gabetero de 5 cajas,Gris,Melamina,3
2024-11,Gabetero con chapa independiente,Blanco,Metal,1
2024-11,Estante para farmacia de dos cuerpos,Azul,Melamina,1
2024-11,Silla estática,Negro,Metal,1
2024-11,Silla de peluquería,Gris,Melamina,2
