Fecha,Tipo,Color,Material,Cantidad
2024-11,Gabinete de dos cuerpos,Blanco,Metal,1
2024-11,Casillero de 2 puertas,Rojo,Melamina,1
2024-11,Gradilla de 2 peldaños,Negro,Metal,1
2024-11,Negtoscopio,Azul,Melamina,1
2024-11,Vitrina para farmacia,Negro,Metal,3
2024-11,Gabetero de 5 cajas,Rojo,Melamina,1
2024-11,Silla estática con brazo,Gris,Metal,1
2024-11,Gabetero de 4 cajas,Azul,Melamina,1
2024-11,Alacena con pedestal,Negro,Metal,1
2024-11,Estante mostrador,Blanco,Melamina,3
2024-11,Camilla tipo escritorio,Negro,Metal,1
2024-11,Casillero de 20 puertas,Azul,Melamina,1
2024-11,Camilla tipo escritorio,Rojo,Metal,1
2024-11,Casillero de 1 cuerpo y 1 puerta,Negro,Melamina,1
2024-11,Camilla de ginecología,Gris,Metal,1
2024-11,Silla giratoria,Rojo,Melamina,1
2024-11,Gabetero de 5 cajas,Blanco,Metal,1
2024-11,Casillero de dos puertas,Rojo,Melamina,1
2024-11,Casillero de 9 puertas,Azul,Metal,2
2024-11,Estante mostrador,Negro,Melamina,1
2024-11,Silla de espera,Rojo,Metal,1
2024-11,Camilla de examen con espaldar movible,Gris,Melamina,1
2024-11,Estante para farmacia,Blanco,Metal,1
2024-11,Casillero de 12 puertas,Azul,Melamina,1
2024-11,Camilla de examen con espaldar movible,Blanco,Metal,1
2024-11,Camilla con Barillas,Rojo,Melamina,3
2024-11,Casillero de 12 puertas,Negro,Metal,1
2024-11,Pedestal porta sueros,Gris,Melamina,1
2024-11,Negtoscopio,Rojo,Metal,1
2024-11,Mostrador para librería,Azul,Melamina,1
2024-11,Camilla de examen con espaldar movible,Rojo,Metal,1
2024-11,Camilla de examen,Gris,Metal,1
2024-11,Casillero de 1 cuerpo y 4 puertas,Negro,Melamina,1
2024-11,Vitrina de puertas corredizas,Rojo,Metal,1
2024-11,Vitrina doble chapa,Negro,Melamina,3
2024-11,Casillero de 9 puertas,Blanco,Metal,2
2024-11,Mesa de curación,Gris,Melamina,1
2024-11,Lámpara de cuello ganzo,Azul,Metal,1
2024-11,Horno semi-industrial,Negro,Metal,1
2024-11,Alacena con pedestal,Rojo,Melamina,1
2024-11,Vitrina doble chapa,Blanco,Metal,1
2024-11,Camillas para masajes,Rojo,Metal,1
2024-11,Lámpara de cuello ganzo,Azul,Melamina,1
2024-11,Silla giratoria,Gris,Metal,2
2024-11,Ropero casillero,Azul,Melamina,1
2024-11,Silla de peluquería,Rojo,Metal,1
2024-11,Estante para archivos con bandejas,Negro,Melamina,1
2024-11,Gabetero con chapa independiente,Blanco,Metal,3
2024-11,Gradilla de 2 peldaños,Negro,Melamina,1
